  1.0000  0.9318  0.8642  0.7979  0.7334  0.6711  0.6111  0.5536  0.4985  0.4457  0.3951  0.3464  0.2994  0.2540  0.2098  0.1666  0.1243  0.0825  0.0412  0.0000
  1.0000  0.9280  0.8569  0.7874  0.7204  0.6561  0.5948  0.5366  0.4813  0.4289  0.3790  0.3314  0.2858  0.2419  0.1995  0.1582  0.1179  0.0782  0.0390  0.0000
  1.0000  0.9233  0.8478  0.7746  0.7045  0.6381  0.5754  0.5165  0.4613  0.4095  0.3606  0.3144  0.2704  0.2284  0.1880  0.1489  0.1108  0.0735  0.0366  0.0000
  1.0000  0.9174  0.8364  0.7587  0.6851  0.6162  0.5522  0.4929  0.4380  0.3870  0.3396  0.2951  0.2531  0.2133  0.1753  0.1386  0.1031  0.0683  0.0340  0.0000
  1.0000  0.9097  0.8219  0.7386  0.6610  0.5895  0.5243  0.4649  0.4107  0.3611  0.3155  0.2732  0.2337  0.1965  0.1611  0.1273  0.0945  0.0626  0.0311  0.0000
  1.0000  0.8996  0.8030  0.7128  0.6306  0.5566  0.4906  0.4316  0.3789  0.3313  0.2881  0.2486  0.2120  0.1778  0.1455  0.1147  0.0851  0.0563  0.0280  0.0000
  1.0000  0.8858  0.7775  0.6791  0.5919  0.5159  0.4498  0.3922  0.3417  0.2971  0.2571  0.2210  0.1879  0.1572  0.1284  0.1011  0.0749  0.0495  0.0246  0.0000
  1.0000  0.8660  0.7423  0.6340  0.5422  0.4651  0.4004  0.3457  0.2988  0.2582  0.2224  0.1904  0.1613  0.1347  0.1098  0.0863  0.0639  0.0422  0.0210  0.0000
  1.0000  0.8360  0.6915  0.5727  0.4777  0.4020  0.3411  0.2913  0.2497  0.2144  0.1838  0.1567  0.1325  0.1103  0.0898  0.0705  0.0521  0.0344  0.0171  0.0000
  1.0000  0.7864  0.6149  0.4874  0.3939  0.3241  0.2707  0.2286  0.1944  0.1659  0.1416  0.1204  0.1015  0.0843  0.0685  0.0538  0.0397  0.0262  0.0130  0.0000
  1.0000  0.6949  0.4944  0.3683  0.2862  0.2298  0.1890  0.1579  0.1334  0.1133  0.0963  0.0817  0.0687  0.0570  0.0463  0.0363  0.0268  0.0177  0.0088  0.0000
  1.0000  0.4986  0.2996  0.2052  0.1529  0.1200  0.0975  0.0808  0.0679  0.0575  0.0488  0.0413  0.0347  0.0288  0.0233  0.0183  0.0135  0.0089  0.0044  0.0000
  1.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
